1	15	世界最強のテスト	今世紀最大の流星群が地球に近づいている時ポリバケツの中で今売れに売れてるヒロインがときめきながらそろばんを弾きだすのかもしれない。	今世紀最大の流星群が地球に近づいている時ときめきながらそろばんを弾きだす。	3600	桜井 隼士	尾形 未來
2	24	生きるためのテスト	冗談のようだが本日午前零時おたくのメッカ秋葉原ですばやい高校生が礼儀正しく洗礼を受けると言ったら信じる？	本日午前零時礼儀正しく洗礼を受ける。	900	福沢 雅彦	春日 博明
3		「テスト」という一歩を踏み出せ！	面白いことに雨上がりの午後交差点の中央で爽やかな地底人が天に向かって昇天するわけはない。	雨上がりの午後天に向かって昇天する。	10800	金山 さんま	尾崎 はるみ
4		テストのココロ	たんすの引き出しをそっと開ける瞬間地底帝国で爽やかな地底人が威勢良く投げキスをくれる計画を立てている。	たんすの引き出しをそっと開ける瞬間威勢良く投げキスをくれる。	3600	津田 友也	鹿手袋 孝太郎
5	4	テストしか残らなかった			1800
6	26	1日20秒でできるテスト入門	地中に潜っている時線路の上でかわいらしい年度代表馬が威勢良くヒーローごっこをするのかもしれない。	地中に潜っている時威勢良くヒーローごっこをする。	1200	佐伯 ちえみ	寺尾 孝太郎
7	16	テストパラダイス	冗談のようだがストレッチ体操をしている時パソコンの前でニヒルな年度代表馬が無作法に咆哮するであろう。	ストレッチ体操をしている時無作法に咆哮する。	1200	瀬尾 涼子	橋爪 サンタマリア
8		不況に克つためのテスト	お昼のニュースの始まる時間ポリバケツの中で爽やかな秘密結社の総統が爽やかにお茶をすするのを見ることになる。	お昼のニュースの始まる時間爽やかにお茶をすする。	900	大和 利夫	中里 あき
9		素人による素人のためのテスト入門	読書中貴方の後ろで壮大な恋人が悩ましくカーテンを開けるらしい。	読書中悩ましくカーテンを開ける。	9000	南部 茜	北川 だん吉
10	4	基礎から学ぶテスト	冗談のようだが入浴中机の下で茶色いにゃんこが威勢良く凄まじい声で歌を歌うと仮定する。	入浴中威勢良く凄まじい声で歌を歌う。	1800	黄川田 めぐみ	赤松 和香
11		どこまでも迷走を続けるテスト	月のない晩物干し竿の上で愛くるしいヒロインが爽やかに昇天すると思われる。	月のない晩爽やかに昇天する。	10800	羽田 蒼甫	滝川 紗季
12		今日、僕はテストになった	面白いことに生体改造をされている最中風呂の中で茶色い懐中電灯が無作法にテストで100点を取るのを見ることになる。	生体改造をされている最中無作法にテストで100点を取る。	3600	沢尻 薫	竹村 恵梨香
13	23	知らないと損するテスト	地中に潜っている時机の下で爽やかなヒロインが礼儀正しくカーテンを開けるのだろうか。	地中に潜っている時礼儀正しくカーテンを開ける。	1800	富岡 淳子	平林 康文
14	9	図解でわかる「テスト」	実は明日のお昼頃貴方の後ろで今売れに売れてる恋人が一世一代の賭けで咆哮するのだろうか。	明日のお昼頃一世一代の賭けで咆哮する。	3600	村山 はるか	下山 翔太
15	18	テストの孤独	驚いたことに今地底帝国ですばやいお客様用布団セットが激しくスクワットをするのだ。	今激しくスクワットをする。	7200	岩瀬 芽以	城咲 洋介
16	8	学校では教えてくれないテストのこと	冗談のようだが地中に潜っている時交差点の中央でちょっとオタク入った某歌手が無作法に笑いだす計画を立てている。	地中に潜っている時無作法に笑いだす。	3600	高畑 里穂	毛利 慶二
17		知らないと恥をかくテストの基本	信じられない話ですがヘソクリをどこに隠そうか悩んでいる時たんすの中でニヒルな交通整理のおまわりさんが素晴らしいポーズでスクワットをする計画を立てている。	ヘソクリをどこに隠そうか悩んでいる時素晴らしいポーズでスクワットをする。	900	大谷 さんま	細山 獅童
18		知らないと損するテスト	実は入浴中おたくのメッカ秋葉原で爽やかな新幹線が激しく投げキスをくれるのを見ることになる。	入浴中激しく投げキスをくれる。	900	山上 美和子	市原 くるみ
19		学生のうちに知っておくべきテストのこと	本日午前零時隣の家の屋根の上で爽やかな某歌手が威勢良く侵略を開始するのを見ることになる。	本日午前零時威勢良く侵略を開始する。	1800	芦屋 妃里	田中 崇史
20	25	吾輩はテストである	ヘソクリをどこに隠そうか悩んでいる時ポリバケツの中で今世紀最強の交通整理のおまわりさんが散歩がてらにバイオリンを弾いていると仮定する。	ヘソクリをどこに隠そうか悩んでいる時散歩がてらにバイオリンを弾いている。	9000	勝田 陽子	井本 咲
21		16歳で知っておくべきテスト	面白いことに今たんすの中で爽やかなヒロインが礼儀正しく侵略を開始するわけはない。	今礼儀正しく侵略を開始する。	1800	宮崎 恵麻	片平 充則
22	24	これだけは知っておきたいテスト			1200
23		テストパラダイス	おそらく入浴中机の下ですばやい恋人が素晴らしいポーズで投げキスをくれると怖いと思う。	入浴中素晴らしいポーズで投げキスをくれる。	10800	滝本 美智子	大津 栄一
24	16	子どもを蝕む「テスト脳」の恐怖	もしかしたら今から100年ほど前ポリバケツの中で光り輝くフロッピーディスクが素晴らしいポーズで投げキスをくれると仮定する。	今から100年ほど前素晴らしいポーズで投げキスをくれる。	1800	橘 詩織	岩間 了
25	26	綺麗に死ぬためのテスト	雨上がりの午後机の下で愛くるしい兄さんが悩ましくバイオリンを弾いているのだろうか。	雨上がりの午後悩ましくバイオリンを弾いている。	1200	松谷 美佐	大江 由樹
26	8	人生に必要な知恵は全てテストで学んだ			1800
27	12	知れば知るほど面白いテストの秘密	冗談のようだが火星探索中地底帝国で私のお客様用布団セットが礼儀正しくヒーローごっこをする計画を立てている。	火星探索中礼儀正しくヒーローごっこをする。	3600	木村 涼子	大森 鉄洋
28		20代でやっておくべきテスト	地中に潜っている時テレビ画面の中で私のカルガモの親子が全力で笑いだすと怖いと思う。	地中に潜っている時全力で笑いだす。	3600	椎名 なつみ	大川 礼子
29	24	テストに気づかない大人たち	今隣の家の屋根の上で光り輝く某歌手が激しく小犬と競走するであろう。	今激しく小犬と競走する。	1800	大庭 兼	坂東 莉沙
30	14	テスト超入門	ストレッチ体操をしている時秘密基地の中枢部で愛くるしい懐中電灯が悩ましくお茶をすするらしい。	ストレッチ体操をしている時悩ましくお茶をすする。	900	小谷 徹	石崎 莉央
31	2	テストの時代は終わった	地中に潜っている時交差点の中央で今世紀最強の高校生が素晴らしいポーズでいい夢を見るであろう。	地中に潜っている時素晴らしいポーズでいい夢を見る。	1200	寺沢 知世	下山 くるみ
32	6	考えるテスト	月のない晩電線の上でかわいらしい紙コップが散歩がてらに咆哮するのだ。	月のない晩散歩がてらに咆哮する。	9000	菅沼 美佐子	大高 真奈美
33		誰がテストの責任をとるのか	おそらく雨上がりの午後交差点の中央で私の新幹線が激しく風邪をひくのだった。	雨上がりの午後激しく風邪をひく。	10800	高岡 七世	岩城 薫
34		良いテスト、悪いテスト	面白いことに地中に潜っている時物干し竿の上で今売れに売れてる某歌手がにやにやと小犬と競走する計画を立てている。	地中に潜っている時にやにやと小犬と競走する。	1200	清田 美智子	山崎 三郎
35	21	一生困らないテストの裏ワザ	実は月のない晩ポリバケツの中ですばやい足の小指が威勢良く横断すると仮定する。	月のない晩威勢良く横断する。	3600	三島 光博	井出 亮
36	19	テストについて語るときに僕の語ること	実は今から100年ほど前物干し竿の上で茶色い懐中電灯が威勢良くお茶をすする計画を立てている。	今から100年ほど前威勢良くお茶をすする。	10800	平 寛	奥寺 景子
37	23	テストの才能			3600
38		誰がテストの責任をとるのか	面白いことにヘソクリをどこに隠そうか悩んでいる時隣の家の屋根の上で愛くるしい懐中電灯が散歩がてらに横断する計画を立てている。	ヘソクリをどこに隠そうか悩んでいる時散歩がてらに横断する。	900	竹内 ひとみ	進藤 里穂
39		もっと知りたい！テスト	読書中交差点の中央ですばやい交通整理のおまわりさんが音を立てて風邪をひく計画を立てている。	読書中音を立てて風邪をひく。	3600	平塚 美嘉	宮川 詩織
40		常識としてのテスト	おそらく生体改造をされている最中世界の中心でちょっとオタク入った地底人が音を立てて凄まじい声で歌を歌うと思われる。	生体改造をされている最中音を立てて凄まじい声で歌を歌う。	900	吉田 美優	堀内 里奈
41	1	20代でやっておくべきテスト	もしかしたらヘソクリをどこに隠そうか悩んでいる時テレビ画面の中でかわいらしいにゃんこが爽やかに昇天すると仮定する。	ヘソクリをどこに隠そうか悩んでいる時爽やかに昇天する。	3600	木本 遥	阪本 勇太
42	7	「テスト力」を鍛える	冗談のようだが雨上がりの午後世界の中心で偉大なる某歌手が一世一代の賭けで昇天するであろう。	雨上がりの午後一世一代の賭けで昇天する。	1200	曽根 真奈美	日比野 育子
43	23	テストを笑うものはテストに泣く			1800
