1	Newsチャンネル	48	2017/4/1 0:00:00	2017/4/1 0:15:00
2	アニメチャンネル	19	2017/4/1 0:00:00	2017/4/1 0:30:00
3	バラエティチャンネル	22	2017/4/1 0:00:00	2017/4/1 0:20:00
4	Newsチャンネル	37	2017/4/1 0:15:00	2017/4/1 1:15:00
5	バラエティチャンネル	31	2017/4/1 0:20:00	2017/4/1 0:40:00
6	アニメチャンネル	18	2017/4/1 0:30:00	2017/4/1 0:45:00
7	バラエティチャンネル	24	2017/4/1 0:40:00	2017/4/1 1:10:00
8	アニメチャンネル	45	2017/4/1 0:45:00	2017/4/1 2:45:00
9	バラエティチャンネル	31	2017/4/1 1:10:00	2017/4/1 1:30:00
10	Newsチャンネル	5	2017/4/1 1:15:00	2017/4/1 1:45:00
11	バラエティチャンネル	28	2017/4/1 1:30:00	2017/4/1 2:30:00
12	Newsチャンネル	6	2017/4/1 1:45:00	2017/4/1 2:05:00
13	Newsチャンネル	11	2017/4/1 2:05:00	2017/4/1 5:05:00
14	バラエティチャンネル	21	2017/4/1 2:30:00	2017/4/1 3:00:00
15	アニメチャンネル	7	2017/4/1 2:45:00	2017/4/1 3:05:00
16	バラエティチャンネル	28	2017/4/1 3:00:00	2017/4/1 4:00:00
17	アニメチャンネル	7	2017/4/1 3:05:00	2017/4/1 3:25:00
18	アニメチャンネル	13	2017/4/1 3:25:00	2017/4/1 3:55:00
19	アニメチャンネル	13	2017/4/1 3:55:00	2017/4/1 4:25:00
20	バラエティチャンネル	10	2017/4/1 4:00:00	2017/4/1 4:30:00
21	アニメチャンネル	47	2017/4/1 4:25:00	2017/4/1 6:55:00
22	バラエティチャンネル	20	2017/4/1 4:30:00	2017/4/1 7:00:00
23	Newsチャンネル	30	2017/4/1 5:05:00	2017/4/1 5:20:00
24	Newsチャンネル	8	2017/4/1 5:20:00	2017/4/1 5:35:00
25	Newsチャンネル	50	2017/4/1 5:35:00	2017/4/1 6:05:00
26	Newsチャンネル	29	2017/4/1 6:05:00	2017/4/1 6:35:00
27	Newsチャンネル	11	2017/4/1 6:35:00	2017/4/1 9:35:00
28	アニメチャンネル	45	2017/4/1 6:55:00	2017/4/1 8:55:00
29	バラエティチャンネル	27	2017/4/1 7:00:00	2017/4/1 8:00:00
30	バラエティチャンネル	28	2017/4/1 8:00:00	2017/4/1 9:00:00
31	アニメチャンネル	19	2017/4/1 8:55:00	2017/4/1 9:25:00
32	バラエティチャンネル	17	2017/4/1 9:00:00	2017/4/1 9:15:00
33	バラエティチャンネル	1	2017/4/1 9:15:00	2017/4/1 10:15:00
34	アニメチャンネル	2	2017/4/1 9:25:00	2017/4/1 9:40:00
35	Newsチャンネル	26	2017/4/1 9:35:00	2017/4/1 10:05:00
36	アニメチャンネル	2	2017/4/1 9:40:00	2017/4/1 9:55:00
37	アニメチャンネル	44	2017/4/1 9:55:00	2017/4/1 10:10:00
38	Newsチャンネル	6	2017/4/1 10:05:00	2017/4/1 10:25:00
39	アニメチャンネル	32	2017/4/1 10:10:00	2017/4/1 12:40:00
40	バラエティチャンネル	23	2017/4/1 10:15:00	2017/4/1 13:15:00
41	Newsチャンネル	37	2017/4/1 10:25:00	2017/4/1 11:25:00
42	Newsチャンネル	26	2017/4/1 11:25:00	2017/4/1 11:55:00
43	Newsチャンネル	3	2017/4/1 11:55:00	2017/4/1 14:55:00
44	アニメチャンネル	41	2017/4/1 12:40:00	2017/4/1 13:40:00
45	バラエティチャンネル	10	2017/4/1 13:15:00	2017/4/1 13:45:00
46	アニメチャンネル	18	2017/4/1 13:40:00	2017/4/1 13:55:00
47	バラエティチャンネル	23	2017/4/1 13:45:00	2017/4/1 16:45:00
48	アニメチャンネル	2	2017/4/1 13:55:00	2017/4/1 14:10:00
49	アニメチャンネル	47	2017/4/1 14:10:00	2017/4/1 16:40:00
50	Newsチャンネル	3	2017/4/1 14:55:00	2017/4/1 17:55:00
51	アニメチャンネル	44	2017/4/1 16:40:00	2017/4/1 16:55:00
52	バラエティチャンネル	22	2017/4/1 16:45:00	2017/4/1 17:05:00
53	アニメチャンネル	19	2017/4/1 16:55:00	2017/4/1 17:25:00
54	バラエティチャンネル	42	2017/4/1 17:05:00	2017/4/1 17:25:00
55	アニメチャンネル	47	2017/4/1 17:25:00	2017/4/1 19:55:00
56	バラエティチャンネル	20	2017/4/1 17:25:00	2017/4/1 19:55:00
57	Newsチャンネル	6	2017/4/1 17:55:00	2017/4/1 18:15:00
58	Newsチャンネル	38	2017/4/1 18:15:00	2017/4/1 18:30:00
59	Newsチャンネル	39	2017/4/1 18:30:00	2017/4/1 19:30:00
60	Newsチャンネル	11	2017/4/1 19:30:00	2017/4/1 22:30:00
61	アニメチャンネル	2	2017/4/1 19:55:00	2017/4/1 20:10:00
62	バラエティチャンネル	22	2017/4/1 19:55:00	2017/4/1 20:15:00
63	アニメチャンネル	19	2017/4/1 20:10:00	2017/4/1 20:40:00
64	バラエティチャンネル	17	2017/4/1 20:15:00	2017/4/1 20:30:00
65	バラエティチャンネル	49	2017/4/1 20:30:00	2017/4/1 20:45:00
66	アニメチャンネル	25	2017/4/1 20:40:00	2017/4/1 21:00:00
67	バラエティチャンネル	16	2017/4/1 20:45:00	2017/4/1 21:45:00
68	アニメチャンネル	4	2017/4/1 21:00:00	2017/4/1 22:00:00
69	バラエティチャンネル	21	2017/4/1 21:45:00	2017/4/1 22:15:00
70	アニメチャンネル	18	2017/4/1 22:00:00	2017/4/1 22:15:00
71	アニメチャンネル	41	2017/4/1 22:15:00	2017/4/1 23:15:00
72	バラエティチャンネル	42	2017/4/1 22:15:00	2017/4/1 22:35:00
73	Newsチャンネル	33	2017/4/1 22:30:00	2017/4/2 1:30:00
74	バラエティチャンネル	24	2017/4/1 22:35:00	2017/4/1 23:05:00
75	バラエティチャンネル	10	2017/4/1 23:05:00	2017/4/1 23:35:00
76	アニメチャンネル	32	2017/4/1 23:15:00	2017/4/2 1:45:00
77	バラエティチャンネル	15	2017/4/1 23:35:00	2017/4/2 1:35:00
78	Newsチャンネル	3	2017/4/2 1:30:00	2017/4/2 4:30:00
79	バラエティチャンネル	17	2017/4/2 1:35:00	2017/4/2 1:50:00
80	アニメチャンネル	7	2017/4/2 1:45:00	2017/4/2 2:05:00
81	バラエティチャンネル	27	2017/4/2 1:50:00	2017/4/2 2:50:00
82	アニメチャンネル	2	2017/4/2 2:05:00	2017/4/2 2:20:00
83	アニメチャンネル	32	2017/4/2 2:20:00	2017/4/2 4:50:00
84	バラエティチャンネル	10	2017/4/2 2:50:00	2017/4/2 3:20:00
85	バラエティチャンネル	23	2017/4/2 3:20:00	2017/4/2 6:20:00
86	Newsチャンネル	39	2017/4/2 4:30:00	2017/4/2 5:30:00
87	アニメチャンネル	41	2017/4/2 4:50:00	2017/4/2 5:50:00
88	Newsチャンネル	3	2017/4/2 5:30:00	2017/4/2 8:30:00
89	アニメチャンネル	32	2017/4/2 5:50:00	2017/4/2 8:20:00
90	バラエティチャンネル	1	2017/4/2 6:20:00	2017/4/2 7:20:00
91	バラエティチャンネル	28	2017/4/2 7:20:00	2017/4/2 8:20:00
92	アニメチャンネル	9	2017/4/2 8:20:00	2017/4/2 10:50:00
93	バラエティチャンネル	21	2017/4/2 8:20:00	2017/4/2 8:50:00
94	Newsチャンネル	33	2017/4/2 8:30:00	2017/4/2 11:30:00
95	バラエティチャンネル	10	2017/4/2 8:50:00	2017/4/2 9:20:00
96	バラエティチャンネル	27	2017/4/2 9:20:00	2017/4/2 10:20:00
97	バラエティチャンネル	17	2017/4/2 10:20:00	2017/4/2 10:35:00
98	バラエティチャンネル	14	2017/4/2 10:35:00	2017/4/2 11:35:00
99	アニメチャンネル	7	2017/4/2 10:50:00	2017/4/2 11:10:00
100	アニメチャンネル	19	2017/4/2 11:10:00	2017/4/2 11:40:00
101	Newsチャンネル	37	2017/4/2 11:30:00	2017/4/2 12:30:00
102	バラエティチャンネル	21	2017/4/2 11:35:00	2017/4/2 12:05:00
103	アニメチャンネル	46	2017/4/2 11:40:00	2017/4/2 11:55:00
104	アニメチャンネル	32	2017/4/2 11:55:00	2017/4/2 14:25:00
105	バラエティチャンネル	15	2017/4/2 12:05:00	2017/4/2 14:05:00
106	Newsチャンネル	48	2017/4/2 12:30:00	2017/4/2 12:45:00
107	Newsチャンネル	33	2017/4/2 12:45:00	2017/4/2 15:45:00
108	バラエティチャンネル	28	2017/4/2 14:05:00	2017/4/2 15:05:00
109	アニメチャンネル	9	2017/4/2 14:25:00	2017/4/2 16:55:00
110	バラエティチャンネル	17	2017/4/2 15:05:00	2017/4/2 15:20:00
111	バラエティチャンネル	43	2017/4/2 15:20:00	2017/4/2 15:50:00
112	Newsチャンネル	29	2017/4/2 15:45:00	2017/4/2 16:15:00
113	バラエティチャンネル	31	2017/4/2 15:50:00	2017/4/2 16:10:00
114	バラエティチャンネル	28	2017/4/2 16:10:00	2017/4/2 17:10:00
115	Newsチャンネル	6	2017/4/2 16:15:00	2017/4/2 16:35:00
116	Newsチャンネル	36	2017/4/2 16:35:00	2017/4/2 19:35:00
117	アニメチャンネル	32	2017/4/2 16:55:00	2017/4/2 19:25:00
118	バラエティチャンネル	15	2017/4/2 17:10:00	2017/4/2 19:10:00
119	バラエティチャンネル	22	2017/4/2 19:10:00	2017/4/2 19:30:00
120	アニメチャンネル	46	2017/4/2 19:25:00	2017/4/2 19:40:00
121	バラエティチャンネル	49	2017/4/2 19:30:00	2017/4/2 19:45:00
122	Newsチャンネル	33	2017/4/2 19:35:00	2017/4/2 22:35:00
123	アニメチャンネル	41	2017/4/2 19:40:00	2017/4/2 20:40:00
124	バラエティチャンネル	20	2017/4/2 19:45:00	2017/4/2 22:15:00
125	アニメチャンネル	25	2017/4/2 20:40:00	2017/4/2 21:00:00
126	アニメチャンネル	41	2017/4/2 21:00:00	2017/4/2 22:00:00
127	アニメチャンネル	7	2017/4/2 22:00:00	2017/4/2 22:20:00
128	バラエティチャンネル	16	2017/4/2 22:15:00	2017/4/2 23:15:00
129	アニメチャンネル	4	2017/4/2 22:20:00	2017/4/2 23:20:00
130	Newsチャンネル	8	2017/4/2 22:35:00	2017/4/2 22:50:00
131	Newsチャンネル	50	2017/4/2 22:50:00	2017/4/2 23:20:00
132	バラエティチャンネル	23	2017/4/2 23:15:00	2017/4/3 2:15:00
133	アニメチャンネル	4	2017/4/2 23:20:00	2017/4/3 0:20:00
134	Newsチャンネル	37	2017/4/2 23:20:00	2017/4/3 0:20:00
135	アニメチャンネル	47	2017/4/3 0:20:00	2017/4/3 2:50:00
136	Newsチャンネル	11	2017/4/3 0:20:00	2017/4/3 3:20:00
137	バラエティチャンネル	10	2017/4/3 2:15:00	2017/4/3 2:45:00
138	バラエティチャンネル	23	2017/4/3 2:45:00	2017/4/3 5:45:00
139	アニメチャンネル	4	2017/4/3 2:50:00	2017/4/3 3:50:00
140	Newsチャンネル	39	2017/4/3 3:20:00	2017/4/3 4:20:00
