1	1	きみまん	2017/4/1 0:02:00
2	2	m?	2017/4/1 0:02:05
3	1	あい	2017/4/1 0:02:23
4	2	わん	2017/4/1 0:04:35
5	3	みく	2017/4/1 0:04:45
6	1	まぬす	2017/4/1 0:04:47
7	2	すよいよー！	2017/4/1 0:06:59
8	2	ええええ	2017/4/1 0:12:24
9	3	バカーー	2017/4/1 0:13:00
10	2	初音ミク	2017/4/1 0:15:16
11	3	いあ	2017/4/1 0:15:59
12	4	プリン	2017/4/1 0:19:02
13	4	あああああああああああああああ	2017/4/1 0:20:37
14	4	そいおお	2017/4/1 0:20:49
15	5	こわあ	2017/4/1 0:21:22
16	2	おく	2017/4/1 0:22:07
17	5	ないるな	2017/4/1 0:22:59
18	2	初音	2017/4/1 0:24:00
19	5	せがあ	2017/4/1 0:28:10
20	2	机？？	2017/4/1 0:28:50
21	5	！	2017/4/1 0:31:41
22	4	ゆっくり	2017/4/1 0:33:45
23	4	ひ外な	2017/4/1 0:38:27
24	5	あああ	2017/4/1 0:39:36
25	6	あ	2017/4/1 0:41:56
26	8	みく	2017/4/1 0:46:16
27	7	おー	2017/4/1 0:49:04
28	7	ゆっくり	2017/4/1 0:55:50
29	7	は？	2017/4/1 0:56:54
30	4	山ャ	2017/4/1 0:57:33
31	9	っけっと	2017/4/1 1:10:34
32	9	うぁ☆れオナ	2017/4/1 1:14:20
33	9	黒板	2017/4/1 1:15:22
34	9	ムマン	2017/4/1 1:17:10
35	9	ばきう	2017/4/1 1:21:16
36	10	あ	2017/4/1 1:34:18
37	10	ゆっくりしていってね	2017/4/1 1:43:14
38	12	ぶ	2017/4/1 1:49:23
39	11	おもんてってん	2017/4/1 1:51:22
40	12	ク?	2017/4/1 1:52:44
41	11	af動はf	2017/4/1 1:54:12
42	11	四次ぐ	2017/4/1 1:57:59
43	12	みく	2017/4/1 1:59:07
44	11	なてころ	2017/4/1 1:59:59
45	12	菅	2017/4/1 2:02:24
46	11	黒板	2017/4/1 2:11:30
47	8	あ	2017/4/1 2:14:24
48	8	ああ	2017/4/1 2:16:09
49	14	v！	2017/4/1 2:34:41
50	14	ゆっくりしていってね	2017/4/1 2:37:18
51	14	こいにこれ	2017/4/1 2:39:10
52	14	ゆみくり	2017/4/1 2:40:11
53	14	黒板	2017/4/1 2:42:13
54	15	あ	2017/4/1 2:46:09
55	15	みく	2017/4/1 2:47:29
56	15	く？	2017/4/1 2:49:10
57	14	机	2017/4/1 2:51:58
58	15	♂ちを	2017/4/1 2:54:17
59	15	うおみいうしまたいす	2017/4/1 2:57:44
60	15	あ	2017/4/1 3:00:52
61	16	はい	2017/4/1 3:01:11
62	16	あいうえ	2017/4/1 3:03:12
63	17	あおおおおおおおおおおおおおおおおおおおお	2017/4/1 3:11:14
64	16	ああ	2017/4/1 3:15:54
65	17	みり	2017/4/1 3:15:57
66	17	えめええい	2017/4/1 3:17:36
67	16	ｓ；ｊｒｙｓвｆｓｓｓｇｓｓ	2017/4/1 3:18:35
